########################Scenario Events#######################;;;;;;;x,,,,,,,,,,,,,,,,
scenario_explanation_title;§YPUIR Scenario Explanation§!;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
mechanic_explanation_title;§YPUIR Mechanic Explanation§!;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
scenario_explanation_desc;This decision will fire a master event which has sub-events detailing information about multiple different things unique to the PUIR scenario.;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
mechanic_explanation_desc;This decision will fire a master event which has sub-events detailing information about multiple different mechanics unique to PUIR.;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
EVTNAME992270;Scenario information within the mod;;;;;;;;;;;;;;;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
EVTDESC992270;This event contains sub-events that give information relating to the specific scenario of the event.;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
EVTNAME9922788;Mechanic information within the mod;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
EVTDESC9922788;This event contains sub-events that give information relating to the specific mechanic of the event.;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
EVTOPT992271;Thank you §G(Return to Event Menu)§!;;;;;;;x,,,,,,,,,,,,,,,,
EVTOPT992272;Thank you §W(Exit Event)§!;;;;;;;;;x,,,,,,,,,,,,,,,,
EVTNAME992271;Ukrainian Breadbasket;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
EVTDESC992271;The Ukrainian Breadbasket begins firing in 1860. It will apply province modifers that give 0.1% pop growth permanently to all provinces in the following states: Rovne, Kiev, Cherson, Crimea, Poltava. Anyone who owns this land will recieve the Breadbasket events applying the province modifiers to the land. The Ukrainian Breadbasket is Russia's main source of pop growth when it fires and is integral to Russia's position as a late game superpower.;;;;;;;;;;;x;,,,,,,,,,,,,
EVTDESC992278;In CoRGI combat is balanced between attack and defence. This means that attack and defence stats when you have all the horizontal row of tech. This diverges from Vanilla where combat is defence oriented. In CoRGI attacking is viable and close to equal as forts give defence bonuses obviously. CoRGI overall has less mobilised troops than vanilla due to the removal of national values giving mobilisation size. Artillery is the most superior unit and should be mass built provided you can supply it. Tech wise it shoul be noted that Army Doctrine tech inventions give solely defence unit stat additions while Light Armament gives solely attack unit inventions. In CoRGI planes and tanks late game should be replacing artilllery and infantry respectively.,;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,
EVTNAME992279;Supply/Reinforcement Information;;;;;;;x,,,,,,,,,,,,,,,,
EVTDESC992279;Because of the way the game's supply system works not having 100% supply is devastating to reinforcement. It is for this reason it is incredibly important to make sure you can 100% supply your army otherwise you will lack reinforcement. If you reinforce 50% you will only get 50% reinforcement for the first unit and then a diminishing 50% for each sequesential unit. The first brigade may reinforce 900 the next 450 after that 225 and so on. This is why not having 100% supply is devastating.;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
EVTNAME992280;World Bank;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
EVTDESC992280;In CoRGI there is a world bank which replaces the function of gold. This serves as the games method of pumping money into the economy. The world bank will buy all excess of the following goods: Iron, Coal, Cotton, Wool, Silk, Sulphur, Cattle, Fish, Fruit, Grain, Timber, Tropical Wood, Tobacco, Tea, Coffee, Opium, Rubber and Oil. It will permanently buy this throughout the game. The world bank is handled completely passively through the Host and Ghost nations. The world bank is the reason why those mentioned goods look like they have infinite demand. The world bank will gradually turn off at certain intervals if the money in the top 20 nations treasuies is above certain amounts. This is CoRGI deflation system which aims to keep control of the late game hyper inflation. The deflation should begin to kick in at around 1900*.;;;;;;;;;;;x;
EVTNAME992281;Naval System;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
EVTDESC992281;CoRGI uses a no naval cap system for navy. In this version of no naval cap, you must have 100% supply in order to not attrition!!!! It also uses a custom supply system which uses three just four naval goods. Frigates - Commerce Raiders all use the Early Convoys to supply. Early Dockyard factories have input requirements of Fabric, Artillery, Canned Food and Steel. This is so as to closely mirror the amount of goods required previously for the ships in this era of navy as close as possible. Ironclads - Cruisers all use the Medium Convoys to supply. Medium Dockyard factories have input requirements of Coal, Artillery, Canned Food and Steel. This is done to closely mirror the amount of goods used in this era of navy as close as possible.;;;;;;;;x,,,,,,,,,,,
EVTDESC9922811;You will unlock Medium Dockyards to build through the Steamers tech. Battleships - Dreadnoughts require the Late Convoys. Late Dockyard factories have input requirements of: Fuel, Steel, Canned Food, Artillery. The Late Dockyard factory will be unlocked through the Iron Steamers tech. Clipper and Steamer transports use the Transport Convoy good. The Transport Convoy factories have input requirements of Fabric, Timber, Lumber and Steel. Steamer Transports use 3x the supply than clipper transports even though they use the same good. The consumption of all ships is closely mirrored as to how it was in previous versions of CoRGI. ;;;;;;;;;;;x;,,,,,,,,,,,
EVTNAME992282;Migration/Emigration;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
EVTDESC992282;Pops migrate based on their life needs, militancy and unemployment. Scaling levels of each of these factors will result in more internal migration in addition to emigration. In CoRGI War Exhaustion will also affect emigration, with scaling levels of emigration as your war exhaustion goes up.;;;;;;;;;;;x;,,,,,,,,,,,,,,
EVTNAME992283;Immigration System;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
EVTDESC992283;The immigration system in CoRGI currently rotates each month. This means that one month North America will receive all the immigrants while South America gets none and then the next month, South America will receive all the immigrants while North America gets none. The only exception to this rule is the USA, who recieves immigration during both periods.;;;;;;;;;;;x;,,,,,,,,,,,,,,
EVTNAME992284;Money Techs*;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
EVTDESC992284;In CoRGI there are 5 important techs that are considered money techs. These are: Interchangeable Parts (1845), Business Banks (1850), Inorganic Chemistry (1850), Combustion Engine (1880) and Electricity (1880). These techs have inventions that give +22% RGO output (Other IGoR based mods and this is 30%). Those inventions are color coded in blue and have a 100% base chance to be invented meaning they will be invented immediately. These techs are crucial to your economies cashflow and getting more RGO goods.;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTNAME992285;Assimilation;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
EVTDESC992285;In IGoR/CoRGI the assimilation system has been completely reworked. There are no double culture cores anywhere across the map meaning that assimilation can and will begin in any province once there is a seed pop (A pop of your primary culture in the province). The base speed of assimilation is universal across the board and is effected by numerous factors. The Equality national value gives a flat 50% increase to assimilation. Pops with higher literacy will assimilate faster than those with low levels of literacy. Militancy and consciousness also affect assimilation speed alongside other factors. Assimilation provides value to land that is not your core or that doesn't have a plurality of your accepted pops. The longer you hold the land the more pops you can assimilate in it. ;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
