;;;;;;;;;;;;;;x,
disable_crisis_title;Disable Crisis;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;,
disable_crisis_desc;Clicking this decision will disable crisies for the entire game.\nThe decision will only be visible till 1837!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;,
swap_country_title;Change Tag to the Target Country;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;,
swap_country_desc;Clicking this decision will change your tag to the target country.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;,
swap_country_host_flag_yes_title;Enable Host Flag Following Tag Changes;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;,
swap_country_host_flag_yes_desc;Clicking this decision will make it so when you change tag, the host nation flag will follow to the nation you swap to.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
swap_country_host_flag_no_title;Disable Host Flag Following Tag Changes;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;,
swap_country_host_flag_no_desc;Clicking this decision will disable the host flag following your tag swaps again.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;,
select_country_to_swap_title;Set a Player to Tag Switch to a Target Country.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;,
select_country_to_swap_desc;Click this decision to set a target country as the player to move to the destination tag with the next decision.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;,
select_country_to_swap_to_title;Set The Destination Tag to a Target Country.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;,
select_country_to_swap_to_desc;Click this decision to set a target country as the destination tag, and move the initially selected player to said tag.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
reset_swap_selection_title;Reset Tag Switch Selection;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;,
reset_swap_selection_desc;Clicking this decision will reset the countries flagged for tag swaps;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;,
increase_infamy_title;Increase the Infamy of All Target Countries by 1;;;;;;;;;;;;;,
increase_infamy_desc;This decision gives all target countries 1 infamy, can be used consecutively to give a specific amount of infamy.;;;;;;;;;;;;;
decrease_infamy_title;Decrease the Infamy of All Target Countries by 1;;;;;;;;;;;;;,
decrease_infamy_desc;This decision reduces all target countries by 1 infamy, can be used consecutively to give a specific amount of infamy.;;;;;;;;;;;;;
give_sanctions_title;Give the Target Countries Sanctions;;;;;;;;;;;;;,
give_sanctions_desc;Clicking this decision will open a menu allowing you to decide how long the sanctions for the targets will last. Use only if someone's been real naughty.;;;;;;;;;;;;;,
give_sanctions_title;Give Sanctions;;;;;;;;;;;;;;;;;;;;;;;x;;;;,
give_sanctions_desc;Does what it says.;;;;;;;;;;;;;;;;;;;;;;;x;;;;,
decrease_infamy_title;Decrease Infamy;;;;;;;;;;;;;;;;;;;;;;;x;;;;,
decrease_infamy_desc;Does what it says.;;;;;;;;;;;;;;;;;;;;;;;x;;;;,
increase_infamy_title;Increase Infamy;;;;;;;;;;;;;;;;;;;;;;;x;;;;,
increase_infamy_desc;Does what it says.;;;;;;;;;;;;;;;;;;;;;;;x;;;;,
player_alliances_title;Ally All Player Nations;;;;;;;;;;;;;;x,
player_alliances_desc;Automatically allies all player nations. DO NOT SPAM.;;;;;;;;;;;;;;x,
total_war_cb_title;Enables Total Annexation CBs;;;;;;;;;;;;;;x,
total_war_cb_desc;Enables total annexation CBs for players in the game. (Requires no building);;;;;;;;;;;;;;x,
total_war_cb_safety_title;Total Annexation CBs Safety Decision;;;;;;;;;;;;;;x,
total_war_cb_safety_desc;Disables the safety on enabling Total Annexation CBs.;;;;;;;;;;;;;;x,
diplomacy_points_title;Diplomacy Points;;;;;;;;;;;;;x;;;;;;;;;;;,
diplomacy_points_desc;Grants a modifer that replenishes the highest possible amount of diplo points per month (Only on month ticks);;;;;;;;;;;;;x;;;;;;;;;;;,
